Year,Country,publications
2000,CHN,712
2001,CHN,890
2002,CHN,1269
2003,CHN,1658
2004,CHN,2131
2005,CHN,2802
2006,CHN,3639
2007,CHN,4405
2008,CHN,5371
2009,CHN,6709
2010,CHN,7582
2011,CHN,8990
2012,CHN,10433
2013,CHN,13171
2014,CHN,16391
2015,CHN,19782
2016,CHN,24773
2017,CHN,31751
2018,CHN,42406
2019,CHN,55261
2020,CHN,63600
2021,CHN,68528
2022,CHN,68692
2000,EU27,6275
2001,EU27,6910
2002,EU27,10112
2003,EU27,10350
2004,EU27,11334
2005,EU27,13153
2006,EU27,15738
2007,EU27,16589
2008,EU27,18240
2009,EU27,20353
2010,EU27,22219
2011,EU27,24576
2012,EU27,26714
2013,EU27,29438
2014,EU27,31661
2015,EU27,34253
2016,EU27,37675
2017,EU27,41002
2018,EU27,45318
2019,EU27,51153
2020,EU27,55683
2021,EU27,56133
2022,EU27,43943
2000,GBR,2997
2001,GBR,2912
2002,GBR,3764
2003,GBR,3988
2004,GBR,4268
2005,GBR,5212
2006,GBR,6117
2007,GBR,6522
2008,GBR,6421
2009,GBR,7092
2010,GBR,7470
2011,GBR,7837
2012,GBR,8454
2013,GBR,9696
2014,GBR,10050
2015,GBR,11048
2016,GBR,12516
2017,GBR,13878
2018,GBR,15316
2019,GBR,17117
2020,GBR,18563
2021,GBR,18450
2022,GBR,14211
2000,USA,10450
2001,USA,11054
2002,USA,17563
2003,USA,16490
2004,USA,16675
2005,USA,18799
2006,USA,20469
2007,USA,20958
2008,USA,21508
2009,USA,22647
2010,USA,24200
2011,USA,25636
2012,USA,26808
2013,USA,28816
2014,USA,30150
2015,USA,32613
2016,USA,35733
2017,USA,39970
2018,USA,45055
2019,USA,49791
2020,USA,52543
2021,USA,48056
2022,USA,35437